x1,x2,f(x),Iteration,Operation
8.931851652578136,5.5176380902050415,351.112681055473,1,Initial simplex
7.5176380902050415,6.931851652578136,254.76476453409367,1,Initial simplex
7.0,5.0,212.8,1,Initial simplex
7.965925826289068,5.258819045102521,277.48409734130297,2,Inside Contraction
8.22474487139159,6.224744871391589,298.4387227947835,2,Inside Contraction
8.931851652578136,5.5176380902050415,351.112681055473,2,Inside Contraction
7.965925826289068,5.258819045102521,277.48409734130297,3,expansion
6.422302741364717,6.190069694331081,185.1381448219597,3,expansion
8.22474487139159,6.224744871391589,298.4387227947835,3,expansion
5.132853108697499,4.723843366367225,114.09246639682185,4,expansion
6.422302741364717,6.190069694331081,185.1381448219597,4,expansion
7.965925826289068,5.258819045102521,277.48409734130297,4,expansion
5.132853108697499,4.723843366367225,114.09246639682185,5,expansion
1.4008821225151902,5.853231500842417,42.36670209342118,5,expansion
6.422302741364717,6.190069694331081,185.1381448219597,5,expansion
0.11143248984797172,4.3870051728785615,24.84388268089653,6,expansion
1.4008821225151902,5.853231500842417,42.36670209342118,6,expansion
5.132853108697499,4.723843366367225,114.09246639682185,6,expansion
2.94450520743954,4.921980851613857,46.91712526544014,7,Inside Contraction
1.4008821225151902,5.853231500842417,42.36670209342118,7,Inside Contraction
0.11143248984797172,4.3870051728785615,24.84388268089653,7,Inside Contraction
1.527968848643756,4.65449301224621,26.075335603480923,8,Inside Contraction
2.1726936649773654,5.387606176228138,40.43530728536604,8,Inside Contraction
2.94450520743954,4.921980851613857,46.91712526544014,8,Inside Contraction
0.756157306181581,5.12011833686049,31.421701585251107,9,reflection
2.1726936649773654,5.387606176228138,40.43530728536604,9,reflection
1.527968848643756,4.65449301224621,26.075335603480923,9,reflection
0.756157306181581,5.12011833686049,31.421701585251107,10,Inside Contraction
1.1420630774126685,4.88730567455335,27.696866995849838,10,Inside Contraction
1.4644254855794732,5.2538622565443145,33.4772123428867,10,Inside Contraction
0.43379489801477633,4.753561754869525,27.586894432596853,11,expansion
1.1420630774126685,4.88730567455335,27.696866995849838,11,expansion
0.756157306181581,5.12011833686049,31.421701585251107,11,expansion
0.43379489801477633,4.753561754869525,27.586894432596853,12,expansion
0.8514723507780054,4.221064470413331,19.35947966119801,12,expansion
1.1420630774126685,4.88730567455335,27.696866995849838,12,expansion
0.8514723507780054,4.221064470413331,19.35947966119801,13,expansion
0.1432041713801131,4.087320550729505,20.68929139428842,13,expansion
0.43379489801477633,4.753561754869525,27.586894432596853,13,expansion
0.8514723507780054,4.221064470413331,19.35947966119801,14,expansion
0.6244249872076251,2.9554540219752052,7.523737682105793,14,expansion
0.1432041713801131,4.087320550729505,20.68929139428842,14,expansion
0.6244249872076251,2.9554540219752052,7.523737682105793,15,expansion
1.3326931666055173,3.089197941659031,10.668233633594108,15,expansion
0.8514723507780054,4.221064470413331,19.35947966119801,15,expansion
0.6244249872076251,2.9554540219752052,7.523737682105793,16,expansion
1.105645803035137,1.8235874932209057,3.55729765280591,16,expansion
1.3326931666055173,3.089197941659031,10.668233633594108,16,expansion
-0.0702801478468914,0.9901663894761041,0.019582867055329523,17,expansion
1.105645803035137,1.8235874932209057,3.55729765280591,17,expansion
0.6244249872076251,2.9554540219752052,7.523737682105793,17,expansion
0.41094066798062046,-0.14170013927819536,0.9031979929221199,18,reflection
1.105645803035137,1.8235874932209057,3.55729765280591,18,reflection
-0.0702801478468914,0.9901663894761041,0.019582867055329523,18,reflection
0.41094066798062046,-0.14170013927819536,0.9031979929221199,19,Inside Contraction
0.3440065438304937,0.9155550332237297,-0.6808260102287735,19,Inside Contraction
1.105645803035137,1.8235874932209057,3.55729765280591,19,Inside Contraction
0.3440065438304937,0.9155550332237297,-0.6808260102287735,20,Inside Contraction
0.741559704470347,1.1052574700968365,0.4671020204569918,20,Inside Contraction
0.41094066798062046,-0.14170013927819536,0.9031979929221199,20,Inside Contraction
0.47686189606552043,0.4343530561910438,-0.23776241978148072,21,Inside Contraction
0.741559704470347,1.1052574700968365,0.4671020204569918,21,Inside Contraction
0.3440065438304937,0.9155550332237297,-0.6808260102287735,21,Inside Contraction
0.47686189606552043,0.4343530561910438,-0.23776241978148072,22,Inside Contraction
0.4104342199480071,0.6749540447073867,-0.6184049563003766,22,Inside Contraction
0.6092108002679337,0.7698052631439402,-0.09017187403308813,22,Inside Contraction
0.4104342199480071,0.6749540447073867,-0.6184049563003766,23,expansion
0.2780853157455938,0.3395018377544904,-0.5363157439079925,23,expansion
0.47686189606552043,0.4343530561910438,-0.23776241978148072,23,expansion
0.4104342199480071,0.6749540447073867,-0.6184049563003766,24,expansion
0.21165763962808049,0.5801028262708334,-0.7787403884372996,24,expansion
0.2780853157455938,0.3395018377544904,-0.5363157439079925,24,expansion
0.21165763962808049,0.5801028262708334,-0.7787403884372996,25,expansion
0.3440065438304938,0.9155550332237298,-0.6808260102287729,25,expansion
0.4104342199480071,0.6749540447073867,-0.6184049563003766,25,expansion
0.14522996351056716,0.8207038147871764,-0.702943550376107,26,reflection
0.3440065438304938,0.9155550332237298,-0.6808260102287729,26,reflection
0.21165763962808049,0.5801028262708334,-0.7787403884372996,26,reflection
0.14522996351056716,0.8207038147871764,-0.702943550376107,27,Inside Contraction
0.22813794664930548,0.7241161251381433,-0.7923034378947054,27,Inside Contraction
0.3440065438304938,0.9155550332237298,-0.6808260102287729,27,Inside Contraction
0.22813794664930548,0.7241161251381433,-0.7923034378947054,28,Inside Contraction
0.26534524945521504,0.8439825015931948,-0.7529299867679156,28,Inside Contraction
